id_categoria,id_test,lat,lon,rumo,velocidade,pan,tilt,zoom
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.93449205570951,-43.14061398288473,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934439712243154,-43.140618157534895,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.917311072,0.0291777849,0.382206887
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.377320647
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.377320647
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934387368776164,-43.14062233218031,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.93433502530852,-43.14062650682098,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
,305792000,-22.934282681840223,-43.140630681456905,356.5,11.3,0.91616112,0.029155612,0.376697034
