id_categoria,id_test,lat,lon,rumo,velocidade,pan,tilt,zoom
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90264448886239,-43.15885580888784,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.902707911325738,-43.158813994127165,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.902707911325738,-43.158813994127165,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.902707911325738,-43.158813994127165,149.3,8.0,0.108366668,0.0183222294,0.502562344
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
,711000999,-22.90250182072121,-43.15895366339702,149.3,8.0,0.10893333,0.0182666779,0.500051737
